	LTR12C	LTR13A	LTR2B	LTR2C	LTR5B	LTR5_Hs
EP300-ENCFF001SZV.bed	705	65	102	100	114	166
EP300-ENCFF001VOB.bed	3	1	1	5	11	7
EP300-ENCFF001VOC.bed	29	34	16	43	56	48
ESRRA-ENCFF122FWH.bed	456	65	40	53	106	110
ESRRA-ENCFF240NFK.bed	521	68	37	53	111	121
ESRRA-ENCFF313UKE.bed	480	69	36	48	99	107
ETS1-ENCFF001UJV.bed	8	1	0	1	2	2
ETS1-ENCFF001UJW.bed	11	1	0	2	3	3
ETV6-ENCFF235BMG.bed	153	35	23	22	54	50
ETV6-ENCFF315GZR.bed	64	15	6	14	17	8
ETV6-ENCFF539MNA.bed	86	30	14	14	38	28
ETV6-ENCFF558BWS.bed	93	20	9	16	27	12
ETV6-ENCFF611XPF.bed	99	19	10	16	31	23
ETV6-ENCFF915TWO.bed	271	38	23	32	51	45
EZH2-ENCFF001SZC.bed	751	60	65	96	115	166
FLAG-ATF1-ENCFF089SHU.bed	351	14	11	16	20	15
FLAG-ATF1-ENCFF189NGD.bed	288	18	15	17	20	20
FLAG-ATF1-ENCFF624BVW.bed	395	13	24	6	23	19
FLAG-PBX2-ENCFF539OHR.bed	346	27	16	13	27	15
FLAG-PBX2-ENCFF597QZY.bed	355	28	20	13	25	18
FLAG-PBX2-ENCFF906WAQ.bed	342	24	13	10	30	25
FOS-ENCFF001VMH.bed	34	8	0	1	0	0
FOSL1-ENCFF001UJX.bed	3	16	0	1	3	2
FOSL1-ENCFF001UJY.bed	0	17	0	0	2	0
FOXA1-ENCFF113ZZY.bed	215	16	20	19	49	64
FOXA1-ENCFF837QWL.bed	234	25	11	13	52	66
FOXA1-ENCFF996FCB.bed	280	24	18	14	62	61
FOXK2-ENCFF037YFB.bed	295	64	28	45	79	90
FOXK2-ENCFF158PJI.bed	274	60	22	42	92	100
FOXK2-ENCFF188GHO.bed	330	81	30	52	103	127
FOXK2-ENCFF203SUN.bed	307	63	20	44	110	114
FOXK2-ENCFF451DBC.bed	281	82	28	55	91	133
FOXK2-ENCFF732HYH.bed	301	60	25	56	95	107
FOXM1-ENCFF804EPQ.bed	742	62	35	63	100	125
FOXM1-ENCFF805KEB.bed	537	52	30	48	96	110
FOXM1-ENCFF847FHY.bed	788	64	45	59	104	124
FUS-ENCFF192IFJ.bed	144	4	4	5	9	10
FUS-ENCFF530LEM.bed	161	4	7	9	10	16
FUS-ENCFF644TNS.bed	161	7	6	5	18	13
GABPA-ENCFF001UJZ.bed	6	4	1	2	15	17
GABPA-ENCFF001UKA.bed	19	4	1	1	4	4
GATA1-ENCFF001VNC.bed	1	0	0	0	2	2
GATA1-ENCFF001VND.bed	13	6	1	3	18	14
GATA1-ENCFF281ONW.bed	73	11	3	7	17	6
GATA1-ENCFF830VFD.bed	258	30	11	15	45	28
GATA1-ENCFF942MUF.bed	174	21	12	14	36	20
GATA2-ENCFF001UKB.bed	11	33	12	41	117	216
GATA2-ENCFF001UKC.bed	2	3	1	3	19	13
GATA2-ENCFF001VNE.bed	2	5	1	0	16	18
GATA2-ENCFF061TTI.bed	165	39	18	31	76	39
GATA2-ENCFF163ZFQ.bed	146	12	6	8	16	16
GATA2-ENCFF717ZNF.bed	187	37	13	28	61	40
GTF2B-ENCFF001VNF.bed	38	2	0	2	0	2
GTF2F1-ENCFF001VNG.bed	22	7	0	5	1	0
GTF3C2-ENCFF001VPD.bed	0	1	0	1	0	0
H2AFZ-ENCFF001SZD.bed	639	65	62	95	104	124
H2AFZ-ENCFF518XQA.bed	209	37	11	42	49	53
H2AFZ-ENCFF681OSA.bed	184	33	14	42	43	48
H2AFZ-ENCFF809JDN.bed	436	39	37	55	69	69
H3K27ac-ENCFF001SZE.bed	187	50	21	51	58	70
H3K27ac-ENCFF244ZLG.bed	139	41	11	36	45	55
H3K27ac-ENCFF252DWA.bed	112	36	10	30	35	42
H3K27ac-ENCFF578UBP.bed	127	38	11	34	42	38
H3K27ac-ENCFF702CFZ.bed	87	30	7	25	34	40
H3K27ac-ENCFF931VAQ.bed	114	36	10	32	39	41
H3K27me3-ENCFF001SZF.bed	517	42	43	72	79	112
H3K27me3-ENCFF001VCP.bed	158	2	7	9	20	9
H3K27me3-ENCFF001XGM.bed	2	0	0	0	0	0
H3K27me3-ENCFF001XGN.bed	1	0	0	0	0	0
H3K27me3-ENCFF047FUX.bed	152	6	9	10	12	26
H3K27me3-ENCFF145UOC.bed	158	9	10	4	22	16
H3K27me3-ENCFF252XGD.bed	84	1	5	1	5	8
H3K27me3-ENCFF360DMN.bed	166	6	8	2	10	2
H3K27me3-ENCFF431UNO.bed	122	3	4	3	11	13
H3K27me3-ENCFF565WMG.bed	164	8	8	12	13	25
H3K27me3-ENCFF728DBX.bed	19	0	3	3	0	4
H3K27me3-ENCFF908KJV.bed	62	3	7	6	11	10
H3K27me3-ENCFF936EYU.bed	190	10	9	14	17	24
H3K36me3-ENCFF001SZG.bed	307	34	37	53	89	98
H3K36me3-ENCFF001XGQ.bed	26	3	0	0	4	4
H3K36me3-ENCFF001XGR.bed	17	1	0	3	3	4
H3K36me3-ENCFF316HBY.bed	36	11	2	6	14	10
H3K36me3-ENCFF473DJX.bed	22	1	0	1	4	3
H3K36me3-ENCFF537EUG.bed	29	7	3	5	13	8
H3K36me3-ENCFF736MDX.bed	51	2	1	5	11	7
