	LTR12C	LTR13A	LTR2B	LTR2C	LTR5B	LTR5_Hs
H3K27ac-ENCFF001SZE.bed	144	11	16	9	25	35
H3K27ac-ENCFF244ZLG.bed	72	6	6	5	16	11
H3K27ac-ENCFF252DWA.bed	65	5	6	3	13	9
H3K27ac-ENCFF578UBP.bed	99	6	7	4	16	13
H3K27ac-ENCFF702CFZ.bed	80	4	4	4	16	15
H3K27ac-ENCFF931VAQ.bed	83	5	7	5	17	15
H3K27me3-ENCFF001SZF.bed	625	35	72	52	90	149
H3K27me3-ENCFF001VCP.bed	174	3	17	10	10	34
H3K27me3-ENCFF001XGM.bed	2	0	1	0	0	2
H3K27me3-ENCFF001XGN.bed	2	0	0	0	0	0
H3K27me3-ENCFF047FUX.bed	322	9	28	16	38	69
H3K27me3-ENCFF145UOC.bed	379	17	41	15	34	78
H3K27me3-ENCFF252XGD.bed	210	6	15	10	25	38
H3K27me3-ENCFF360DMN.bed	311	9	12	8	39	56
H3K27me3-ENCFF431UNO.bed	288	17	19	8	38	37
H3K27me3-ENCFF565WMG.bed	321	10	27	18	37	64
H3K27me3-ENCFF728DBX.bed	139	6	8	5	12	23
H3K27me3-ENCFF908KJV.bed	271	8	25	11	24	43
H3K27me3-ENCFF936EYU.bed	366	10	32	16	38	77
H3K36me3-ENCFF001SZG.bed	470	30	48	50	70	107
H3K36me3-ENCFF001XGQ.bed	37	1	2	2	1	6
H3K36me3-ENCFF001XGR.bed	32	2	0	2	4	5
H3K36me3-ENCFF316HBY.bed	199	8	11	13	25	42
H3K36me3-ENCFF473DJX.bed	99	5	2	5	10	23
H3K36me3-ENCFF537EUG.bed	202	12	7	13	20	40
H3K36me3-ENCFF736MDX.bed	166	7	4	7	18	37
H3K36me3-ENCFF784HLI.bed	186	10	10	15	22	42
H3K36me3-ENCFF828STE.bed	163	6	7	7	9	34
H3K4me1-ENCFF001SZH.bed	361	25	45	25	65	67
H3K4me1-ENCFF001VCQ.bed	147	4	12	7	19	29
H3K4me1-ENCFF078UPL.bed	195	10	17	6	20	43
H3K4me1-ENCFF254UHS.bed	213	12	17	7	35	45
H3K4me1-ENCFF564QIG.bed	230	14	20	8	21	49
H3K4me1-ENCFF586SUS.bed	158	9	12	9	25	33
H3K4me1-ENCFF721YQO.bed	177	10	15	7	28	36
H3K4me1-ENCFF914PQZ.bed	260	16	23	7	30	49
H3K4me2-ENCFF001SZI.bed	163	10	16	9	25	39
H3K4me2-ENCFF626TOQ.bed	133	6	10	3	21	25
H3K4me2-ENCFF627TIZ.bed	122	7	10	3	17	21
H3K4me2-ENCFF672WGZ.bed	92	5	6	2	15	14
H3K4me3-ENCFF001SZJ.bed	142	12	20	11	27	37
H3K4me3-ENCFF001VCR.bed	36	4	3	1	6	8
H3K4me3-ENCFF001XGV.bed	37	1	3	1	6	8
H3K4me3-ENCFF001XGW.bed	42	3	2	2	7	8
H3K4me3-ENCFF084PQN.bed	43	4	3	1	9	10
H3K4me3-ENCFF258PHY.bed	39	4	3	1	7	9
H3K4me3-ENCFF261REY.bed	40	4	3	1	8	10
H3K4me3-ENCFF282LNM.bed	38	4	5	1	10	10
H3K4me3-ENCFF314GKM.bed	80	5	4	3	12	13
H3K4me3-ENCFF406QTB.bed	74	6	6	2	14	14
H3K4me3-ENCFF507QPR.bed	73	5	4	3	11	12
H3K4me3-ENCFF752ALB.bed	40	4	4	1	8	10
H3K4me3-ENCFF757WPX.bed	48	4	3	1	8	10
H3K79me2-ENCFF001SZK.bed	254	16	23	22	45	53
H3K79me2-ENCFF350GQM.bed	110	5	12	5	20	20
H3K79me2-ENCFF392BQI.bed	128	7	11	7	21	24
H3K79me2-ENCFF671MKW.bed	144	6	14	11	26	26
H3K9ac-ENCFF001SZL.bed	188	10	19	16	39	48
H3K9ac-ENCFF001VCS.bed	58	4	3	1	11	13
H3K9ac-ENCFF043ACH.bed	307	12	20	7	34	52
H3K9ac-ENCFF171GKK.bed	79	5	6	1	9	14
H3K9ac-ENCFF184IVL.bed	207	11	13	4	23	40
H3K9ac-ENCFF295AER.bed	196	11	12	5	23	34
H3K9ac-ENCFF418BIN.bed	64	5	4	2	10	12
H3K9ac-ENCFF641AGA.bed	206	12	17	4	25	33
H3K9ac-ENCFF644XWD.bed	188	10	15	5	26	29
H3K9ac-ENCFF731INI.bed	70	4	7	3	10	12
H3K9ac-ENCFF890RCT.bed	304	12	20	6	32	50
H3K9me1-ENCFF001SZM.bed	743	43	81	71	97	168
H3K9me1-ENCFF374ISV.bed	20	0	2	1	2	1
H3K9me3-ENCFF001SZN.bed	876	53	92	79	128	194
H3K9me3-ENCFF323KXF.bed	13	1	3	4	1	3
H3K9me3-ENCFF388GQN.bed	113	8	7	4	11	17
H3K9me3-ENCFF582WOP.bed	19	1	3	2	1	1
H4K20me1-ENCFF001SZO.bed	740	47	83	71	106	170
H4K20me1-ENCFF189YWV.bed	139	3	9	4	12	17
H4K20me1-ENCFF363YMD.bed	75	2	3	3	7	13
H4K20me1-ENCFF417SUG.bed	122	1	6	4	5	19
HCFC1-ENCFF001VNH.bed	51	3	5	1	10	7
HCFC1-ENCFF317AIN.bed	399	21	34	17	46	54
HCFC1-ENCFF386FIZ.bed	230	9	20	8	25	32
HCFC1-ENCFF912AHN.bed	395	16	29	13	42	75
HDAC1-ENCFF001SZP.bed	498	26	56	39	73	99
HDAC1-ENCFF079BZJ.bed	384	29	22	10	33	59
HDAC1-ENCFF113GBF.bed	388	23	24	17	44	72
HDAC1-ENCFF200WFO.bed	348	10	32	14	42	73
HDAC1-ENCFF221YZK.bed	378	16	23	16	46	73
HDAC1-ENCFF445XTX.bed	359	14	27	15	43	72
HDAC1-ENCFF536DPF.bed	396	21	28	14	35	66
HDAC1-ENCFF624ZMB.bed	412	18	25	9	35	64
HDAC1-ENCFF849NGF.bed	395	13	29	12	36	70
HDAC1-ENCFF873ZUQ.bed	391	24	20	11	52	67
HDAC2-ENCFF001SZQ.bed	541	31	69	48	70	126
HDAC2-ENCFF001UKD.bed	23	1	1	1	5	4
HDAC2-ENCFF001UKE.bed	12	0	1	0	6	0
HDAC2-ENCFF074FFL.bed	342	16	31	16	50	68
HDAC2-ENCFF233XEO.bed	375	15	29	8	35	81
HDAC2-ENCFF680CDC.bed	355	19	20	12	45	59
HDAC2-ENCFF810MGC.bed	359	15	27	22	42	61
HDAC2-ENCFF888AZU.bed	379	19	27	13	52	59
HDAC2-ENCFF930KIS.bed	372	12	22	9	33	58
HDAC6-ENCFF001SZR.bed	704	49	86	57	95	154
HDAC6-ENCFF322OPC.bed	373	18	19	13	31	67
HDAC6-ENCFF676RZD.bed	370	15	26	16	31	59
HDAC6-ENCFF996VOF.bed	380	15	26	8	32	61
HDGF-ENCFF264KUV.bed	341	21	24	22	44	78
HDGF-ENCFF328KFN.bed	345	17	31	17	47	65
HDGF-ENCFF385LTD.bed	345	31	26	21	40	70
HDGF-ENCFF409HKO.bed	349	16	25	21	50	54
HDGF-ENCFF415ZVO.bed	334	12	32	15	45	69
HDGF-ENCFF701JMF.bed	335	17	29	15	55	70
HES1-ENCFF222PPL.bed	379	19	28	10	50	73
HES1-ENCFF786MKH.bed	414	17	27	20	48	71
HES1-ENCFF860KMP.bed	383	10	20	17	44	80
HLTF-ENCFF206YAY.bed	376	12	30	18	43	64
HLTF-ENCFF650AVU.bed	367	17	30	15	49	60
HLTF-ENCFF717PAZ.bed	360	20	26	18	45	61
HMBOX1-ENCFF037FVZ.bed	379	19	23	16	45	82
HMBOX1-ENCFF052IOC.bed	359	21	27	13	35	63
HMBOX1-ENCFF514IDT.bed	406	19	25	21	41	70
HMGN3-ENCFF001VNI.bed	49	3	4	1	9	7
HNRNPL-ENCFF013REF.bed	396	19	25	15	48	79
HNRNPL-ENCFF501SMZ.bed	394	25	25	23	43	74
HNRNPL-ENCFF838LKB.bed	385	19	21	18	53	69
HNRNPUL1-ENCFF036VGX.bed	386	14	24	13	40	67
HNRNPUL1-ENCFF648RFW.bed	405	17	28	13	54	60
HNRNPUL1-ENCFF788AWO.bed	402	16	18	15	45	75
IKZF1-ENCFF038VEX.bed	370	19	32	14	54	79
IKZF1-ENCFF165OLG.bed	381	20	22	16	42	79
IKZF1-ENCFF320JKZ.bed	366	18	30	20	48	70
IKZF1-ENCFF519QZC.bed	358	19	25	15	48	72
IKZF1-ENCFF669ACI.bed	373	20	30	16	43	67
IKZF1-ENCFF723ESB.bed	368	23	31	16	52	86
IRF1-ENCFF001VNK.bed	5	1	0	0	0	1
IRF1-ENCFF001VNL.bed	47	5	4	0	6	11
IRF1-ENCFF001VNM.bed	61	4	3	0	12	11
IRF1-ENCFF074NOU.bed	397	18	20	15	47	62
IRF1-ENCFF370WUU.bed	382	19	22	13	46	66
IRF1-ENCFF390PTY.bed	413	13	19	16	38	78
IRF1-ENCFF467GRI.bed	391	18	20	19	41	77
IRF1-ENCFF517QNU.bed	415	14	24	14	45	62
IRF1-ENCFF846FXF.bed	410	18	28	18	40	72
IRF1-ENCFF998DOG.bed	396	21	24	15	57	69
IRF2-ENCFF063GMG.bed	396	15	34	14	34	67
IRF2-ENCFF135VWG.bed	393	17	27	11	44	67
IRF2-ENCFF770GWM.bed	407	10	29	9	53	55
JUN-ENCFF001VMK.bed	62	4	4	1	7	10
JUN-ENCFF001VML.bed	0	0	0	0	0	0
JUN-ENCFF001VMM.bed	3	0	0	0	1	0
JUN-ENCFF001VMN.bed	1	0	0	0	0	0
JUN-ENCFF001VMO.bed	32	2	3	0	6	4
JUN-ENCFF001VMP.bed	11	0	2	0	2	0
JUN-ENCFF041POZ.bed	283	13	20	6	29	54
JUN-ENCFF052OWI.bed	264	16	14	13	29	45
JUN-ENCFF063HEH.bed	351	20	15	16	37	66
JUN-ENCFF076VIZ.bed	403	19	26	9	40	68
JUN-ENCFF257FNC.bed	332	16	20	7	40	66
JUN-ENCFF394RSM.bed	187	10	11	11	19	28
JUN-ENCFF436KCV.bed	384	17	25	18	42	69
